SITE_ID,GROUP_ID,VARIABLE_GROUP,VARIABLE,DATAVALUE
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_F_NIGHT, calculated from half-hourly data"
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,232,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,233,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_NIGHT_QC
AR-TF2,233,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF2,233,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_NIGHT, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-TF2,233,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Average daytime TA_F, calculated from half-hourly data"
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,234,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY_SD
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Standard deviation for TA_F_DAY, calculated from half-hourly data"
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_MODEL,TEMP-ElectResis
AR-TF2,235,GRP_VAR_INFO,VAR_INFO_UNIT,deg C
AR-TF2,236,GRP_VAR_INFO,VAR_INFO_VARNAME,TA_F_DAY_QC
AR-TF2,236,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF2,236,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for TA_F_DAY, fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-TF2,236,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-TF2,237,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_POT
AR-TF2,237,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF2,237,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, potential (top of atmosphere), average from half-hourly data"
AR-TF2,237,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F_MDS
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, gapfilled using MDS (negative values set to zero, e.g., negative values from instrumentation noise). Average from half-hourly data"
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_HEIGHT,2
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_MODEL,RAD-Pyrrad-SW+LW
AR-TF2,238,GRP_VAR_INFO,VAR_INFO_UNIT,W m-2
AR-TF2,239,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_F_MDS_QC
AR-TF2,239,GRP_VAR_INFO,VAR_INFO_DATE,201601010000
AR-TF2,239,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Quality flag for SW_IN_F_MDS. Fraction between 0-1, indicating percentage of measured and good quality gapfill data"
AR-TF2,239,GRP_VAR_INFO,VAR_INFO_UNIT,adimensional
AR-TF2,240,GRP_VAR_INFO,VAR_INFO_VARNAME,SW_IN_ERA
AR-TF2,240,GRP_VAR_INFO,VAR_INFO_DATE,201602081200
AR-TF2,240,GRP_VAR_INFO,VAR_INFO_DEFINITION,"Shortwave radiation, incoming, downscaled from ERA, linearly regressed using measured only site data (negative values set to zero). Average from half-hourly data"
